,movie_id,title,year,mpaa,director,main_actor_1,main_actor_2,main_actor_3,main_actor_4,genre_1,runtime_conv,full_date,infl_budget,infl_domestic,infl_worldwide
1903,tt1045772,I Love You Phillip Morris,2009,R,Glenn Ficarra,Jim Carrey,Ewan McGregor,Leslie Mann,Rodrigo Santoro,Biography,98,2009-04-16,16419591.958496671,2573403.4932435895,49774385.16521626
1904,tt1045778,Year One,2009,PG-13,Harold Ramis,Jack Black,Michael Cera,Olivia Wilde,Oliver Platt,Comedy,97,2009-06-18,75782732.11613849,54736956.75165589,78760867.1837492
1905,tt1046163,My Best Friend's Girl,2008,R,Howard Deutch,Kate Hudson,Dane Cook,Jason Biggs,Alec Baldwin,Comedy,101,2008-09-18,25171038.025480375,24188423.628560685,52386828.963785924
1906,tt1046173,G.I. Joe: The Rise of Cobra,2009,PG-13,Stephen Sommers,Dennis Quaid,Channing Tatum,Marlon Wayans,Adewale Akinnuoye-Agbaje,Action,118,2009-08-05,221032968.6720706,189711331.43961182,382032141.47904557
1907,tt1046997,Miracle at St. Anna,2008,R,Spike Lee,Derek Luke,Michael Ealy,Laz Alonso,Omar Benson Miller,Action,160,2008-09-26,56634835.55733084,9966619.756761402,11746887.987533849
1908,tt1047540,Parental Guidance,2012,PG,Andy Fickman,Billy Crystal,Bette Midler,Marisa Tomei,Tom Everett Scott,Comedy,105,2012-12-25,29505344.216312278,91191926.60574755,141356837.30864048
1909,tt10481868,Black Christmas,2019,PG-13,Sophia Takal,Imogen Poots,Aleyse Shannon,Lily Donoghue,Brittany O'Grady,Horror,92,2019-11-27,5299483.292067106,11054435.975154212,19639598.90830292
1910,tt1049413,Up,2009,PG,Pete Docter,Edward Asner,Jordan Nagai,John Ratzenberger,Christopher Plummer,Adventure,96,2009-05-28,221032968.6720706,370077601.1554184,928463613.5004219
1911,tt1051904,Goosebumps,2015,PG,Rob Letterman,Jack Black,Dylan Minnette,Odeya Rush,Ryan Lee,Adventure,103,2015-10-14,66308577.02190139,91551999.63559577,180932043.5388179
1912,tt1051906,The Invisible Man,2020,R,Leigh Whannell,Elisabeth Moss,Oliver Jackson-Cohen,Harriet Dyer,Aldis Hodge,Horror,124,2020-02-26,7328861.601709357,67963726.92234875,128688580.19365485
1913,tt1053424,Repo Men,2010,R,Miguel Sapochnik,Jude Law,Forest Whitaker,Alice Braga,Liev Schreiber,Action,111,2010-03-19,39765197.93080676,17142323.2561819,22877279.984361816
1914,tt1053810,The Big Year,2011,PG,David Frankel,Owen Wilson,Jack Black,Steve Martin,John Cleese,Comedy,100,2011-10-14,49390145.772853985,8678376.243603822,9853232.89211742
1915,tt1054606,The Imaginarium of Doctor Parnassus,2009,PG-13,Terry Gilliam,Christopher Plummer,Lily Cole,Heath Ledger,Andrew Garfield,Adventure,123,2009-09-18,37891366.058069244,9712323.789323054,78067297.30419461
1916,tt1055292,Life as We Know It,2010,PG-13,Greg Berlanti,Katherine Heigl,Josh Duhamel,Josh Lucas,Alexis Clagett,Comedy,114,2010-10-07,47221172.54283304,66326711.07683348,131392186.88557069
1917,tt1055369,Transformers: Revenge of the Fallen,2009,PG-13,Michael Bay,Shia LaBeouf,Megan Fox,Josh Duhamel,Tyrese Gibson,Action,149,2009-06-19,252609107.05379495,507885602.0821583,1056289645.5726053
1918,tt1057500,Invictus,2009,PG-13,Clint Eastwood,Morgan Freeman,Matt Damon,Tony Kgoroge,Patrick Mofokeng,Biography,134,2009-12-11,75782732.11613849,47353299.91134397,154630613.03290343
1919,tt1058017,The Invention of Lying,2009,PG-13,Ricky Gervais,Ricky Gervais,Jennifer Garner,Jonah Hill,Louis C.K.,Comedy,100,2009-10-02,23366342.402476035,23304770.195677202,40930893.980012774
1920,tt1059786,Eagle Eye,2008,PG-13,D.J. Caruso,Shia LaBeouf,Michelle Monaghan,Rosario Dawson,Michael Chiklis,Action,118,2008-09-25,100684152.1019215,127668439.9692991,224988029.76043066
1921,tt1060277,Cloverfield,2008,PG-13,Matt Reeves,Mike Vogel,Jessica Lucas,Lizzy Caplan,T.J. Miller,Action,85,2008-01-17,31463797.53185047,100745107.5461559,216967023.0075754
1922,tt1065073,Boyhood,2014,R,Richard Linklater,Ellar Coltrane,Patricia Arquette,Ethan Hawke,Elijah Smith,Drama,165,2014-06-05,4578433.360367667,29018432.27295384,55098773.9761591
1923,tt1067106,A Christmas Carol,2009,PG,Robert Zemeckis,Jim Carrey,Gary Oldman,Colin Firth,Steve Valentine,Animation,96,2009-09-09,252609107.05379495,174118232.27280143,410851845.91291946
1924,tt1067583,Water for Elephants,2011,PG-13,Francis Lawrence,Robert Pattinson,Reese Witherspoon,Christoph Waltz,Paul Schneider,Drama,120,2011-04-15,45776232.667523205,70723938.55885375,141056933.6350744
1925,tt1067774,Monte Carlo,2011,PG,Thomas Bezucha,Selena Gomez,Leighton Meester,Katie Cassidy,Cory Monteith,Adventure,109,2011-06-30,24092754.035538528,27931656.11979248,47923719.819639996
1926,tt1068242,Footloose,2011,PG-13,Craig Brewer,Kenny Wormald,Julianne Hough,Dennis Quaid,Andie MacDowell,Comedy,113,2011-04-09,28911304.842646234,62403536.06862306,76546688.6051774
1927,tt1068680,Yes Man,2008,PG-13,Peyton Reed,Jim Carrey,Zooey Deschanel,Bradley Cooper,John Michael Higgins,Comedy,104,2008-12-18,88098633.08918132,122949163.58211452,280961186.6898743
1928,tt1071875,Ghost Rider: Spirit of Vengeance,2011,PG-13,Mark Neveldine,Nicolas Cage,Ciarán Hinds,Idris Elba,Violante Placido,Action,96,2011-02-15,68664349.00128481,62368914.78107399,159691507.97371736
1929,tt1074638,Skyfall,2012,PG-13,Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench,Action,143,2012-10-25,236042753.73049822,359210189.54628605,1308338970.9339533
1930,tt1075747,Jonah Hex,2010,PG-13,Jimmy Hayward,Josh Brolin,Megan Fox,John Malkovich,Michael Fassbender,Action,81,2010-06-18,58405134.46087244,13106506.097011777,13549136.243166894
1931,tt1077368,Dark Shadows,2012,PG-13,Tim Burton,Johnny Depp,Michelle Pfeiffer,Eva Green,Helena Bonham Carter,Comedy,113,2012-05-09,177032065.29787368,94095078.98520869,289774521.8277917
1932,tt1078588,My Sister's Keeper,2009,PG-13,Nick Cassavetes,Cameron Diaz,Abigail Breslin,Alec Baldwin,Walter Raney,Drama,109,2009-06-26,37891366.058069244,62142130.83570667,120892245.52757801
