movie_id,title,mpaa,director,main_actor_1,main_actor_2,main_actor_3,main_actor_4,budget,domestic,genre_1,runtime,release_date
tt0109635,Disclosure,R,Barry Levinson,Michael Douglas,Demi Moore,Donald Sutherland,Caroline Goodall,55000000.0,83015089.0,Drama,128,1994-12-09
tt0109676,Drop Zone,R,John Badham,Wesley Snipes,Gary Busey,Yancy Butler,Michael Jeter,45000000.0,28735315.0,Action,101,1994-12-09
tt0109707,Ed Wood,R,Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,18000000.0,5887457.0,Biography,127,1994-09-30
tt0109813,The Flintstones,PG,Brian Levant,John Goodman,Rick Moranis,Rosie O'Donnell,Halle Berry,46000000.0,130531208.0,Comedy,91,1994-05-27
tt0109830,Forrest Gump,PG-13,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,55000000.0,330455270.0,Drama,142,1994-07-06
tt0109831,Four Weddings and a Funeral,R,Mike Newell,Hugh Grant,Andie MacDowell,James Fleet,Simon Callow,4400000.0,52700832.0,Comedy,117,1994-03-11
tt0109836,Mary Shelley's Frankenstein,R,Kenneth Branagh,Robert De Niro,Kenneth Branagh,Helena Bonham Carter,Tom Hulce,45000000.0,22006296.0,Drama,123,1994-11-04
tt0110005,Heavenly Creatures,R,Peter Jackson,Melanie Lynskey,Kate Winslet,Sarah Peirse,Diana Kent,5000000.0,3049135.0,Biography,99,1994-11-16
tt0110074,The Hudsucker Proxy,PG,Joel Coen,Tim Robbins,Paul Newman,Jennifer Jason Leigh,Charles Durning,40000000.0,2816518.0,Comedy,111,1994-03-11
tt0110097,I'll Do Anything,PG-13,James L. Brooks,Nick Nolte,Albert Brooks,Whittni Wright,Julie Kavner,40000000.0,10424645.0,Comedy,115,1994-02-04
tt0110099,I.Q.,PG,Fred Schepisi,Tim Robbins,Meg Ryan,Walter Matthau,Lou Jacobi,25000000.0,26381221.0,Comedy,100,1994-12-25
tt0110148,Interview with the Vampire: The Vampire Chronicles,R,Neil Jordan,Brad Pitt,Tom Cruise,Antonio Banderas,Kirsten Dunst,60000000.0,105264608.0,Drama,123,1994-11-11
tt0110197,Jimmy Hollywood,R,Barry Levinson,Joe Pesci,Christian Slater,Victoria Abril,Jason Beghe,30000000.0,3783003.0,Comedy,112,1994-04-01
tt0110216,Junior,PG-13,Ivan Reitman,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,Frank Langella,60000000.0,36763355.0,Comedy,109,1994-11-23
tt0110265,Killing Zoe,R,Roger Avary,Eric Stoltz,Julie Delpy,Martin Raymond,Eric Pascal Chaltiel,1500000.0,418961.0,Crime,96,1993-08-19
tt0110357,The Lion King,G,Roger Allers,Matthew Broderick,Jeremy Irons,James Earl Jones,Whoopi Goldberg,45000000.0,422783777.0,Adventure,88,1994-06-15
tt0110367,Little Women,PG,Gillian Armstrong,Susan Sarandon,Winona Ryder,Kirsten Dunst,Claire Danes,18000000.0,50083616.0,Drama,115,1994-12-21
tt0110391,Love Affair,PG-13,Glenn Gordon Caron,Warren Beatty,Annette Bening,Katharine Hepburn,Garry Shandling,60000000.0,18272894.0,Comedy,108,1994-10-21
tt0110475,The Mask,PG-13,Chuck Russell,Jim Carrey,Cameron Diaz,Peter Riegert,Peter Greene,23000000.0,119938730.0,Action,101,1994-07-29
tt0110598,Muriel's Wedding,R,P.J. Hogan,Toni Collette,Rachel Griffiths,Bill Hunter,Sophie Lee,9000000.0,15119639.0,Comedy,106,1994-03-10
tt0110622,Naked Gun 33 1/3: The Final Insult,PG-13,Peter Segal,Leslie Nielsen,Priscilla Presley,George Kennedy,O.J. Simpson,30000000.0,51132598.0,Comedy,83,1994-03-18
tt0110632,Natural Born Killers,R,Oliver Stone,Woody Harrelson,Juliette Lewis,Tom Sizemore,Rodney Dangerfield,34000000.0,50282766.0,Action,118,1994-08-26
tt0110687,North,PG,Rob Reiner,Elijah Wood,Bruce Willis,Jason Alexander,Julia Louis-Dreyfus,40000000.0,7182747.0,Adventure,87,1994-07-22
tt0110725,On Deadly Ground,R,Steven Seagal,Steven Seagal,Michael Caine,Joan Chen,John C. McGinley,50000000.0,38590458.0,Action,101,1994-02-18
tt0110912,Pulp Fiction,R,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,8000000.0,107928762.0,Crime,154,1994-10-14
tt0110944,Rapa Nui,R,Kevin Reynolds,Jason Scott Lee,Esai Morales,Sandrine Holt,Eru Potaka Dewes,20000000.0,305070.0,Action,107,1994-09-09
tt0110989,Ri¢hie Ri¢h,PG,Donald Petrie,Macaulay Culkin,Edward Herrmann,John Larroquette,Christine Ebersole,40000000.0,38087756.0,Comedy,95,1994-12-21
tt0111070,The Santa Clause,PG,John Pasquin,Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,22000000.0,144833357.0,Comedy,97,1994-11-11
tt0111127,Serial Mom,R,John Waters,Kathleen Turner,Sam Waterston,Ricki Lake,Matthew Lillard,13000000.0,7820688.0,Comedy,95,1994-04-13
tt0111149,Shallow Grave,R,Danny Boyle,Kerry Fox,Christopher Eccleston,Ewan McGregor,Ken Stott,2500000.0,2079569.0,Crime,89,1994-02-10
tt0111161,The Shawshank Redemption,R,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,25000000.0,28699976.0,Drama,142,1994-09-23
tt0111187,Silent Fall,R,Bruce Beresford,Richard Dreyfuss,Linda Hamilton,John Lithgow,J.T. Walsh,30000000.0,3180674.0,Drama,101,1994-10-28
tt0111255,The Specialist,R,Luis Llosa,Sylvester Stallone,Sharon Stone,James Woods,Rod Steiger,45000000.0,57362582.0,Action,110,1994-10-07
tt0111257,Speed,R,Jan de Bont,Keanu Reeves,Dennis Hopper,Sandra Bullock,Joe Morton,30000000.0,121248145.0,Action,116,1994-06-10
tt0111280,Star Trek: Generations,PG,David Carson,Patrick Stewart,William Shatner,Malcolm McDowell,Jonathan Frakes,35000000.0,75671125.0,Action,118,1994-11-18
tt0111301,Street Fighter,PG-13,Steven E. de Souza,Jean-Claude Van Damme,Raul Julia,Ming-Na Wen,Damian Chapa,35000000.0,33423521.0,Action,102,1994-12-23
tt0111359,Tall Tale,PG,Jeremiah S. Chechik,Patrick Swayze,Oliver Platt,Roger Aaron Brown,Nick Stahl,32000000.0,8247627.0,Adventure,96,1995-03-24
tt0111400,Terminal Velocity,PG-13,Deran Sarafian,Charlie Sheen,Nastassja Kinski,James Gandolfini,Christopher McDonald,50000000.0,16487349.0,Action,102,1994-09-23
tt0111503,True Lies,R,James Cameron,Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,115000000.0,146282411.0,Action,141,1994-07-15
tt0111512,The Legend of Drunken Master,R,Chia-Liang Liu,Jackie Chan,Ho-Sung Pak,Lung Ti,Anita Mui,10000000.0,11555430.0,Action,102,1994-10-20
tt0111756,Wyatt Earp,PG-13,Lawrence Kasdan,Kevin Costner,Dennis Quaid,Gene Hackman,David Andrews,63000000.0,25052000.0,Adventure,191,1994-06-24
tt0112401,Assassins,R,Richard Donner,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,50000000.0,30303072.0,Action,132,1995-10-06
tt0112427,An Awfully Big Adventure,R,Mike Newell,Hugh Grant,Alan Rickman,Georgina Cates,Alun Armstrong,4000000.0,259724.0,Comedy,112,1995-07-21
tt0112442,Bad Boys,R,Michael Bay,Will Smith,Martin Lawrence,Lisa Boyle,Michael Taliferro,19000000.0,65807024.0,Action,119,1995-04-07
tt0112462,Batman Forever,PG-13,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,Nicole Kidman,100000000.0,184069126.0,Action,121,1995-06-16
tt0112471,Before Sunrise,R,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,2500000.0,5535405.0,Drama,101,1995-01-27
tt0112508,Billy Madison,PG-13,Tamra Davis,Adam Sandler,Darren McGavin,Bridgette Wilson-Sampras,Bradley Whitford,10000000.0,25588734.0,Comedy,89,1995-02-10
tt0112573,Braveheart,R,Mel Gibson,Mel Gibson,Sophie Marceau,Patrick McGoohan,Angus Macfadyen,72000000.0,75609945.0,Biography,178,1995-05-24
tt0112579,The Bridges of Madison County,PG-13,Clint Eastwood,Clint Eastwood,Meryl Streep,Annie Corley,Victor Slezak,24000000.0,71516617.0,Drama,135,1995-06-02
tt0112585,The Brothers McMullen,R,Edward Burns,Jack Mulcahy,Michael McGlone,Edward Burns,Shari Albert,238000.0,10426506.0,Comedy,98,1995-08-11
tt0112682,The City of Lost Children,R,Marc Caro,Ron Perlman,Daniel Emilfork,Judith Vittet,Dominique Pinon,18000000.0,1738611.0,Fantasy,112,1995-12-15
tt0112760,Cutthroat Island,PG-13,Renny Harlin,Geena Davis,Matthew Modine,Frank Langella,Maury Chaykin,98000000.0,10017322.0,Action,124,1995-12-22
tt0112864,Die Hard with a Vengeance,R,John McTiernan,Bruce Willis,Jeremy Irons,Samuel L. Jackson,Graham Greene,90000000.0,100012499.0,Action,128,1995-05-19
tt0112883,Don Juan DeMarco,PG-13,Jeremy Leven,Johnny Depp,Marlon Brando,Faye Dunaway,Géraldine Pailhas,25000000.0,22150451.0,Comedy,97,1994-04-07
tt0113010,Fair Game,R,Andrew Sipes,William Baldwin,Cindy Crawford,Steven Berkoff,Christopher McDonald,50000000.0,11534477.0,Action,91,1995-11-03
tt0113118,Friday,R,F. Gary Gray,Ice Cube,Chris Tucker,Nia Long,Tommy 'Tiny' Lister,3500000.0,27467564.0,Comedy,91,1995-04-28
tt0113326,Rumble in the Bronx,R,Stanley Tong,Jackie Chan,Anita Mui,Françoise Yip,Bill Tung,7500000.0,32392047.0,Action,104,1995-02-23
tt0113409,In the Mouth of Madness,R,John Carpenter,Sam Neill,Jürgen Prochnow,Julie Carmen,David Warner,8000000.0,8924549.0,Drama,95,1994-02-03
tt0113481,Johnny Mnemonic,R,Robert Longo,Keanu Reeves,Dolph Lundgren,Dina Meyer,Ice-T,26000000.0,19075720.0,Action,96,1995-05-26
tt0113492,Judge Dredd,R,Danny Cannon,Sylvester Stallone,Armand Assante,Rob Schneider,Jürgen Prochnow,90000000.0,34693481.0,Action,96,1995-06-30
tt0113497,Jumanji,PG,Joe Johnston,Robin Williams,Kirsten Dunst,Bonnie Hunt,Jonathan Hyde,65000000.0,100499940.0,Adventure,104,1995-12-15
tt0113987,Nixon,R,Oliver Stone,Anthony Hopkins,Joan Allen,Powers Boothe,Ed Harris,44000000.0,13681765.0,Biography,192,1995-12-22
tt0114113,The Perez Family,R,Mira Nair,Marisa Tomei,Anjelica Huston,Alfred Molina,Chazz Palminteri,11000000.0,2832826.0,Comedy,113,1995-05-12
tt0114214,The Quick and the Dead,R,Sam Raimi,Sharon Stone,Gene Hackman,Russell Crowe,Leonardo DiCaprio,32000000.0,18636537.0,Action,107,1995-02-10
tt0114272,Restoration,R,Michael Hoffman,Robert Downey Jr.,Sam Neill,David Thewlis,Polly Walker,19000000.0,4005941.0,Biography,117,1995-12-29
tt0114319,Sabrina,PG,Sydney Pollack,Harrison Ford,Julia Ormond,Greg Kinnear,Nancy Marchand,58000000.0,53672080.0,Comedy,127,1995-12-15
tt0114345,The Scarlet Letter,R,Roland Joffé,Demi Moore,Gary Oldman,Robert Duvall,Lisa Andoh,46000000.0,10382407.0,Drama,135,1995-10-13
tt0114369,Se7en,R,David Fincher,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,33000000.0,100125643.0,Crime,127,1995-09-22
tt0114371,Search and Destroy,R,David Salle,Griffin Dunne,Dennis Hopper,Jason Ferraro,Robert Knepper,4000000.0,389503.0,Action,90,1995-04-28
